Art. nr. vores;Art. nr. deres; Ind netto ;kr. v/ kurs;Fragt ;Handling;Ind incl.;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;% tillæg;Før pris;;;;;;;;
;; i kurs ;"7,50";GNS;;  fragt ; Pris 1 ; Pris 2 ; Pris 3 ; Pris 4 ; Pris 5 ; Pris 6 ; Pris 7 ; Reseller ; EAN ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
SRA0G25C9003HVID;KRA0G25C9003;" 19,51 € ";146;;;146;571;512;457;438;418;399;;380;512;"130,00%";"0,00";;;;;;;;
SR50x70G25C9003HVID;KR50x70G25C9003;" 8,26 € ";62;;;62;214;201;177;169;161;153;;153;201;"130,00%";"0,00";;;;;;;;
SR70x100G25C9003HVID;KR70x100G25C9003;" 15,01 € ";113;;;113;351;322;293;285;271;256;;256;322;"130,00%";"0,00";;;;;;;;
SRA4G25C3020RØD;KRA4G25C3020;" 3,87 € ";29;;;29;101;94;83;79;75;72;;72;94;"130,00%";"0,00";;;;;;;;
SRA3G25C3020RØD;KRA3G25C3020;" 4,97 € ";37;;;37;130;120;107;102;97;92;;92;120;"130,00%";"0,00";;;;;;;;
SRA2G25C3020RØD;KRA2G25C3020;" 7,00 € ";53;;;53;183;171;150;143;137;128;;116;171;"130,00%";"0,00";;;;;;;;
SRA1G25C3020RØD;KRA1G25C3020;" 11,13 € ";83;;;83;291;271;239;228;217;206;;206;271;"130,00%";"0,00";;;;;;;;
SRA0G25C3020RØD;KRA0G25C3020;" 19,51 € ";146;;;146;571;512;457;438;418;399;;380;512;"130,00%";"0,00";;;;;;;;
SR50x70G25C3020RØD;KR50x70G25C3020;" 8,26 € ";62;;;62;214;201;177;169;161;153;;153;201;"130,00%";"0,00";;;;;;;;
SR70x100G25C3020RØD;KR70x100G25C3020;" 14,43 € ";108;;;108;338;310;281;300;260;246;;246;310;"130,00%";"0,00";;;;;;;;
SRA4G25C5010BLÅ;KRA4G25C5010;" 3,87 € ";29;;;29;101;94;83;79;75;72;;72;94;"130,00%";"0,00";;;;;;;;
SRA3G25C5010BLÅ;KRA3G25C5010;" 4,97 € ";37;;;37;130;120;107;102;97;92;;92;120;"130,00%";"0,00";;;;;;;;
SRA2G25C5010BLÅ;KRA2G25C5010;" 7,00 € ";53;;;53;183;171;150;143;137;128;;116;171;"130,00%";"0,00";;;;;;;;
SRA1G25C5010BLÅ;KRA1G25C5010;" 11,13 € ";83;;;83;291;271;239;228;217;206;;206;271;"130,00%";"0,00";;;;;;;;
SRA0G25C5010BLÅ;KRA0G25C5010;" 19,51 € ";146;;;146;571;512;457;438;418;399;;380;512;"130,00%";"0,00";;;;;;;;
SR50x70G25C5010BLÅ;KR50x70G25C5010;" 8,26 € ";62;;;62;214;201;177;169;161;153;;153;201;"130,00%";"0,00";;;;;;;;
SR70x100G25C5010BLÅ;KR70x100G25C5010;" 14,43 € ";108;;;108;338;310;281;274;260;246;;246;310;"130,00%";"0,00";;;;;;;;
SCT4xA4PHC;SCT4xA4PHC;"139,62 €";1047;126;52;1173;2580;2320;2064;;;;;1935;2552;"110,00%";"0,00";;;;;;;;
SCT4xA4PHC9005;SCT4xA4PHC9005;"139,62 €";1047;126;52;1173;2580;2320;2064;;;;;1935;2552;"110,00%";"0,00";;;;;;;;
SCT4xA4PHC9003;SCT4xA4PHC9003;"139,62 €";1047;126;52;1173;2580;2320;2064;;;;;1935;2552;"110,00%";"0,00";;;;;;;;
SCT4xA4PHC3020;SCT4xA4PHC3020;"139,62 €";1047;126;52;1173;2580;2320;2064;;;;;1935;2552;"110,00%";"0,00";;;;;;;;
SCT4xA4PHC5010;SCT4xA4PHC5010;"139,62 €";1047;126;52;1173;2580;2320;2064;;;;;1935;2552;"110,00%";"0,00";;;;;;;;
SCT6xA4PHC;SCT6xA4PHC;"161,54 €";1212;145;61;1357;2985;2684;2388;;;;;2239;2952;"110,00%";"0,00";;;;;;;;
SCT6xA4PHC9005;SCT6xA4PHC9005;"161,54 €";1212;145;61;1357;2985;2684;2388;;;;;2239;2952;"110,00%";"0,00";;;;;;;;
SCT6xA4PHC9003;SCT6xA4PHC9003;"161,54 €";1212;145;61;1357;2985;2684;2388;;;;;2239;2952;"110,00%";"0,00";;;;;;;;
SCT6xA4PHC3020;SCT6xA4PHC3020;"161,54 €";1212;145;61;1357;2985;2684;2388;;;;;2239;2952;"110,00%";"0,00";;;;;;;;
SCT6xA4PHC5010;SCT6xA4PHC5010;"161,54 €";1212;145;61;1357;2985;2684;2388;;;;;2239;2952;"110,00%";"0,00";;;;;;;;
SCT8xA4PHC;SCT8xA4PHC;"180,98 €";1357;163;68;1520;3345;3007;2676;;;;;2508;3307;"110,00%";"0,00";;;;;;;;
SCT8xA4PHC9005;SCT8xA4PHC9005;"180,98 €";1357;163;68;1520;3345;3007;2676;;;;;2508;3307;"110,00%";"0,00";;;;;;;;
SCT8xA4PHC9003;SCT8xA4PHC9003;"180,98 €";1357;163;68;1520;3345;3007;2676;;;;;2508;3307;"110,00%";"0,00";;;;;;;;
SCT8xA4PHC3020;SCT8xA4PHC3020;"180,98 €";1357;163;68;1520;3345;3007;2676;;;;;2508;3307;"110,00%";"0,00";;;;;;;;
SCT8xA4PHC5010;SCT8xA4PHC5010;"180,98 €";1357;163;68;1520;3345;3007;2676;;;;;2508;3307;"110,00%";"0,00";;;;;;;;
SCT9xA4PHC;SCT9xA4PHC;"190,76 €";1431;172;72;1602;3525;3169;2820;;;;;2644;3486;"110,00%";"0,00";;;;;;;;
SCT9xA4PHC9005;SCT9xA4PHC9005;"190,76 €";1431;172;72;1602;3525;3169;2820;;;;;2644;3486;"110,00%";"0,00";;;;;;;;
SCT9xA4PHC9003;SCT9xA4PHC9003;"190,76 €";1431;172;72;1602;3525;3169;2820;;;;;2644;3486;"110,00%";"0,00";;;;;;;;
SCT9xA4PHC3020;SCT9xA4PHC3020;"190,76 €";1431;172;72;1602;3525;3169;2820;;;;;2644;3486;"110,00%";"0,00";;;;;;;;
SCT9xA4PHC5010;SCT9xA4PHC5010;"190,76 €";1431;172;72;1602;3525;3169;2820;;;;;2644;3486;"110,00%";"0,00";;;;;;;;
SCT12xA4PHC;SCT12xA4PHC;"224,87 €";1687;202;84;1889;4156;3736;3324;;;;;3117;4109;"110,00%";"0,00";;;;;;;;
SCT12xA4PHC9005;SCT12xA4PHC9005;"224,87 €";1687;202;84;1889;4156;3736;3324;;;;;3117;4109;"110,00%";"0,00";;;;;;;;
SCT12xA4PHC9003;SCT12xA4PHC9003;"224,87 €";1687;202;84;1889;4156;3736;3324;;;;;3117;4109;"110,00%";"0,00";;;;;;;;
SCT12xA4PHC3020;SCT12xA4PHC3020;"224,87 €";1687;202;84;1889;4156;3736;3324;;;;;3117;4109;"110,00%";"0,00";;;;;;;;
SCT12xA4PHC5010;SCT12xA4PHC5010;"224,87 €";1687;202;84;1889;4156;3736;3324;;;;;3117;4109;"110,00%";"0,00";;;;;;;;
SCT15xA4PHC;SCT15xA4PHC;"253,62 €";1902;228;95;2130;4687;4214;3750;;;;;3515;4635;"110,00%";"0,00";;;;;;;;
SCT15xA4PHC9005;SCT15xA4PHC9005;"253,62 €";1902;228;95;2130;4687;4214;3750;;;;;3515;4635;"110,00%";"0,00";;;;;;;;
